PaperID,PaperDiscipline,StudentLevel,StudentGender,SpeakerStatus,PaperType,CharacterTypes,CitationAuthority,CitationControversy,CitationHedged,CitationNeutral,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,ExpertVocabulary,InformationComparison,InformationQuantities,MethodsResultsDiscussion,PurposePlan,ReaderDirectedMetadiscourse,ReaderDirectedMetadiscourseFP,Reasoning
ECO.G2.08.1,Economics,Second Year Graduate,M,NNS,ResearchPaper,0.097,0.097,0.121,0.049,0.170,0.607,0.753,0.000,8.378,2.040,0.656,0.170,0.680,1.506,0.146,2.113
ECO.G3.01.1,Economics,Third Year Graduate,F,NNS,ResearchPaper,1.657,0.133,0.000,0.000,0.000,0.530,0.331,0.000,5.898,1.723,1.060,0.133,0.464,1.259,0.066,1.392
ECO.G3.02.1,Economics,Third Year Graduate,M,NS,ResearchPaper,0.319,0.053,0.000,0.000,0.080,0.691,0.425,0.027,7.204,1.223,0.851,1.302,0.744,1.887,0.425,2.844
EDU.G0.01.1,Education,Final Year Undergraduate,M,NS,Report,3.257,0.000,0.000,0.000,0.096,0.479,0.718,0.000,5.556,0.623,0.383,0.192,0.910,2.682,0.383,1.628
EDU.G0.02.1,Education,Final Year Undergraduate,F,NS,ResponsePaper,5.095,0.123,0.000,0.000,0.184,2.087,0.614,0.000,3.683,0.921,0.000,0.123,0.675,2.333,0.859,1.412
EDU.G0.03.1,Education,Final Year Undergraduate,F,NS,Report,5.163,0.000,0.123,0.000,0.061,0.615,0.369,0.000,5.900,1.045,1.844,0.000,0.184,1.045,0.061,0.553
EDU.G0.04.1,Education,Final Year Undergraduate,F,NS,ResponsePaper,0.263,0.878,0.000,0.000,0.088,0.790,0.351,0.000,5.443,1.932,7.989,0.000,0.176,1.317,0.000,1.054
EDU.G0.05.1,Education,Final Year Undergraduate,F,NS,Report,2.823,0.000,0.000,0.000,0.380,0.326,0.217,0.000,6.243,0.489,0.217,0.163,0.597,1.954,0.326,1.520
EDU.G0.06.1,Education,Final Year Undergraduate,F,NS,Report,1.986,0.234,0.000,0.000,0.000,0.350,0.584,0.000,4.322,0.584,1.636,0.000,0.701,2.220,0.000,0.818
EDU.G0.06.2,Education,Final Year Undergraduate,F,NS,ResponsePaper,3.446,0.077,0.000,0.000,0.153,0.536,0.306,0.000,5.207,0.842,0.153,0.153,0.842,2.221,0.459,1.531
EDU.G0.06.3,Education,Final Year Undergraduate,F,NS,Proposal,3.264,0.255,0.255,0.000,0.153,0.510,1.530,0.000,5.303,0.306,0.561,0.204,0.816,1.734,0.000,1.224
EDU.G0.07.1,Education,Final Year Undergraduate,F,NS,Report,2.845,0.140,0.093,0.047,0.000,0.793,0.653,0.000,2.799,0.840,0.513,0.000,0.187,1.353,0.047,1.306
EDU.G0.08.1,Education,Final Year Undergraduate,F,NS,Essay,2.455,0.136,0.034,0.000,0.170,1.262,0.546,0.000,2.421,0.648,0.273,0.102,0.443,1.807,0.170,0.682
EDU.G0.09.1,Education,Final Year Undergraduate,F,NS,Report,3.568,0.079,0.026,0.000,0.529,0.793,0.608,0.000,4.281,1.216,1.136,0.185,0.476,1.348,0.106,1.797
EDU.G0.10.1,Education,Final Year Undergraduate,F,NS,Report,3.439,0.261,0.104,0.000,0.365,0.782,0.417,0.000,5.055,0.730,1.146,0.000,0.313,1.980,0.000,1.772
EDU.G0.11.1,Education,Final Year Undergraduate,F,NS,Report,4.007,0.057,0.000,0.057,0.114,1.546,1.088,0.000,6.583,1.202,0.572,0.000,0.744,1.774,0.000,2.232
EDU.G0.12.1,Education,Final Year Undergraduate,M,NS,Report,4.729,0.057,0.057,0.000,0.057,1.254,0.456,0.000,5.299,1.083,1.709,0.000,0.399,2.108,0.000,0.855
EDU.G0.13.1,Education,Final Year Undergraduate,F,NS,Report,2.874,0.147,0.000,0.000,0.074,0.663,0.590,0.000,3.832,0.368,1.032,0.147,0.737,1.179,0.074,1.400
EDU.G0.14.1,Education,Final Year Undergraduate,F,NS,ResponsePaper,4.025,0.310,0.000,0.000,0.000,0.774,0.929,0.000,5.728,1.548,0.619,0.155,0.774,1.393,0.310,1.393
EDU.G0.15.1,Education,Final Year Undergraduate,F,NNS,Report,4.675,0.037,0.037,0.000,0.374,0.598,0.711,0.000,4.637,1.458,0.673,0.000,0.262,1.907,0.112,1.496
EDU.G0.16.1,Education,Final Year Undergraduate,F,NS,ResponsePaper,3.090,0.000,0.140,0.000,0.421,0.562,0.281,0.000,4.213,0.702,1.545,0.140,1.826,1.545,0.140,3.230
EDU.G0.17.1,Education,Final Year Undergraduate,F,NS,Report,4.023,0.044,0.044,0.177,0.133,0.619,1.061,0.000,6.808,0.663,0.442,0.088,0.752,1.945,0.000,1.238
EDU.G0.19.1,Education,Final Year Undergraduate,F,NS,Critique,3.571,0.000,0.000,0.000,0.193,0.820,0.531,0.000,9.363,0.434,0.434,0.193,0.820,1.158,0.048,0.820
EDU.G0.20.1,Education,Final Year Undergraduate,M,NS,ResponsePaper,2.846,0.000,0.000,0.000,0.000,0.589,0.589,0.000,5.986,0.491,0.393,0.294,0.687,1.472,0.098,1.472
EDU.G1.01.1,Education,First Year Graduate,M,NS,Proposal,2.877,0.149,0.037,0.000,0.149,1.233,0.673,0.000,8.333,0.523,0.486,0.000,0.859,1.831,0.000,1.233
EDU.G1.03.1,Education,First Year Graduate,F,NS,ResearchPaper,4.784,0.194,0.091,0.000,0.065,0.337,0.493,0.013,6.781,0.895,0.493,0.233,0.726,1.621,0.026,1.647
EDU.G1.04.1,Education,First Year Graduate,F,NS,Report,4.622,0.219,0.219,0.040,0.179,1.195,0.259,0.000,7.271,1.295,0.239,0.120,0.657,1.952,0.100,1.753
EDU.G1.05.1,Education,First Year Graduate,F,NNS,ResearchPaper,4.742,0.249,0.036,0.089,0.089,0.799,0.160,0.000,5.861,1.723,0.284,0.195,0.764,1.634,0.000,1.385
EDU.G1.06.1,Education,First Year Graduate,F,NS,Report,4.494,0.040,0.040,0.040,0.243,0.283,0.283,0.000,8.866,0.486,0.243,0.121,1.174,1.498,0.162,0.891
EDU.G1.07.1,Education,First Year Graduate,M,NS,Critique,2.345,0.123,0.185,0.093,0.123,1.018,0.771,0.000,5.646,1.635,0.463,0.093,0.432,1.759,0.031,1.975
EDU.G1.08.1,Education,First Year Graduate,F,NS,Report,1.619,0.531,0.345,0.027,0.372,0.664,0.345,0.000,6.743,2.256,1.009,0.106,0.849,1.699,0.027,1.221
EDU.G1.09.1,Education,First Year Graduate,F,NS,Critique,2.542,0.125,0.042,0.000,0.083,0.458,0.958,0.000,6.667,1.208,0.292,0.125,0.958,1.667,0.125,1.500
EDU.G1.10.1,Education,First Year Graduate,M,NS,Report,3.389,0.063,0.190,0.032,0.095,0.697,0.412,0.000,4.815,0.982,0.443,0.063,0.285,1.140,0.000,0.887
EDU.G1.11.1,Education,First Year Graduate,F,NS,Proposal,3.323,0.061,0.183,0.015,0.838,0.579,0.396,0.000,5.823,0.518,0.412,0.244,1.052,1.784,0.229,1.357
EDU.G1.12.1,Education,First Year Graduate,F,NS,Report,1.469,0.189,0.018,0.027,0.243,0.964,0.568,0.036,6.463,1.442,0.802,0.523,1.298,2.290,0.117,1.821
EDU.G2.01.1,Education,Second Year Graduate,M,NNS,Report,2.047,0.117,0.058,0.000,0.078,0.643,0.409,0.000,5.596,2.242,1.384,0.643,0.390,1.599,0.039,1.735
EDU.G2.01.2,Education,Second Year Graduate,M,NNS,Report,1.745,0.091,0.036,0.036,0.200,0.636,0.654,0.000,7.181,1.272,0.636,0.164,0.654,2.454,0.000,1.400
EDU.G2.02.1,Education,Second Year Graduate,F,NS,Essay,4.345,0.072,0.072,0.072,0.145,0.941,0.290,0.000,3.910,1.303,0.652,0.000,0.507,1.738,0.145,0.579
EDU.G2.03.1,Education,Second Year Graduate,F,NS,Essay,2.702,0.081,0.183,0.061,0.163,0.914,0.630,0.020,7.820,0.975,1.056,0.142,0.467,1.747,0.020,1.259
EDU.G2.04.1,Education,Second Year Graduate,F,NS,Critique,1.227,0.000,0.000,0.000,0.216,0.361,0.794,0.000,12.698,0.433,0.505,0.144,0.505,2.165,0.072,1.299
EDU.G3.01.1,Education,Third Year Graduate,F,NS,Proposal,1.797,0.163,0.180,0.016,0.131,0.343,0.555,0.000,8.348,1.421,0.686,0.098,0.523,2.042,0.229,1.291
EDU.G3.03.1,Education,Third Year Graduate,F,NS,Report,1.959,0.230,0.115,0.000,0.346,0.461,0.346,0.115,4.493,1.498,0.461,0.461,0.346,1.613,0.000,2.074
EDU.G3.03.2,Education,Third Year Graduate,F,NS,Report,2.483,0.056,0.226,0.000,0.451,0.564,0.677,0.056,5.869,0.903,0.395,0.056,0.903,1.975,0.113,0.621
EDU.G3.03.3,Education,Third Year Graduate,F,NS,Essay,3.462,0.027,0.107,0.000,0.186,0.426,0.426,0.000,5.832,0.772,0.293,0.053,0.639,2.157,0.107,1.012
EDU.G3.03.4,Education,Third Year Graduate,F,NS,Report,2.517,0.168,0.000,0.000,0.168,1.007,0.419,0.000,5.621,0.587,0.503,0.336,1.091,3.020,0.084,1.426
EDU.G3.03.5,Education,Third Year Graduate,F,NS,Report,5.474,0.000,0.274,0.000,0.456,0.730,0.274,0.000,5.748,1.186,0.365,0.000,0.456,2.190,0.091,0.730
EDU.G3.03.6,Education,Third Year Graduate,F,NS,Report,3.461,0.000,0.000,0.000,0.124,0.371,0.371,0.000,8.405,0.742,0.494,0.124,0.742,1.607,0.000,1.360
EDU.G3.03.7,Education,Third Year Graduate,F,NS,Report,5.420,0.000,0.111,0.000,0.000,0.111,0.442,0.000,2.434,0.996,0.774,0.000,0.442,1.659,0.332,1.106
EDU.G3.04.1,Education,Third Year Graduate,F,NS,Report,1.995,0.382,0.370,0.000,0.119,0.597,0.358,0.024,8.483,0.932,0.609,0.418,1.016,1.768,0.060,1.900
ENG.G0.01.1,English,Final Year Undergraduate,F,NS,Report,4.337,0.083,0.083,0.000,0.167,0.500,0.000,0.000,3.920,0.917,0.417,0.000,0.417,2.585,0.000,1.168
ENG.G0.01.2,English,Final Year Undergraduate,F,NS,Report,1.490,0.000,0.000,0.000,0.559,0.186,0.186,0.000,5.773,0.931,0.559,0.000,0.559,0.000,0.000,1.490
ENG.G0.02.1,English,Final Year Undergraduate,F,NS,Essay,2.311,0.091,0.000,0.000,0.091,0.589,0.770,0.000,4.984,1.133,0.408,0.000,0.317,1.450,0.317,0.861
ENG.G0.03.1,English,Final Year Undergraduate,F,NS,Essay,1.134,0.000,0.031,0.000,0.092,0.552,0.307,0.000,6.070,1.318,1.165,0.000,1.042,1.288,0.000,1.655
ENG.G0.03.2,English,Final Year Undergraduate,F,NS,Essay,2.295,0.082,0.082,0.000,0.410,0.492,0.287,0.000,3.689,0.492,0.574,0.041,0.369,1.516,0.000,1.148
ENG.G0.04.1,English,Final Year Undergraduate,F,NS,Essay,0.963,0.120,0.000,0.000,0.361,0.361,0.842,0.000,5.415,0.842,0.241,0.120,0.602,1.564,0.241,0.963
ENG.G0.05.1,English,Final Year Undergraduate,F,NS,Essay,3.401,0.000,0.055,0.000,0.000,0.384,0.274,0.000,2.084,0.823,0.219,0.000,0.329,2.852,0.000,0.878
ENG.G0.06.1,English,Final Year Undergraduate,F,NS,CreativeWriting,3.707,0.086,0.043,0.000,0.259,0.431,0.517,0.000,2.371,0.517,0.474,0.086,0.345,1.724,0.216,0.776
ENG.G0.06.2,English,Final Year Undergraduate,F,NS,Essay,1.359,0.097,0.000,0.000,0.000,0.388,0.874,0.000,4.175,0.777,0.777,0.097,0.388,2.913,0.097,2.136
ENG.G0.06.3,English,Final Year Undergraduate,F,NS,Essay,1.393,0.000,0.000,0.000,0.186,0.186,0.464,0.000,6.871,1.207,0.929,0.000,0.186,2.600,0.000,1.114
ENG.G0.07.1,English,Final Year Undergraduate,F,NS,Essay,3.230,0.000,0.140,0.000,0.140,0.281,0.492,0.000,7.584,0.492,0.772,0.000,0.211,0.913,0.000,1.124
ENG.G0.09.2,English,Final Year Undergraduate,F,NS,Essay,2.556,0.038,0.038,0.000,0.150,0.414,0.414,0.038,4.774,0.714,0.752,0.000,0.226,1.692,0.000,1.090
ENG.G0.10.1,English,Final Year Undergraduate,M,NS,Report,1.195,0.000,0.184,0.000,0.276,1.103,0.460,0.000,6.434,0.735,0.368,0.000,0.276,2.941,0.000,2.022
ENG.G0.11.1,English,Final Year Undergraduate,F,NS,Essay,0.844,0.000,0.000,0.000,0.050,1.290,0.695,0.000,4.218,0.893,0.447,0.000,0.050,1.489,0.099,0.893
ENG.G0.12.1,English,Final Year Undergraduate,F,NS,Essay,5.447,0.000,0.000,0.000,0.059,0.592,0.947,0.059,1.717,0.888,0.118,0.000,0.651,1.835,0.000,1.184
ENG.G0.13.1,English,Final Year Undergraduate,F,NS,Essay,2.414,0.000,0.000,0.000,0.049,1.182,0.640,0.000,2.956,1.133,0.443,0.000,0.443,2.020,0.099,0.739
ENG.G0.13.2,English,Final Year Undergraduate,F,NS,Report,1.314,0.114,0.343,0.000,0.228,0.857,1.085,0.057,3.655,0.628,0.286,0.000,0.571,2.284,0.057,1.142
ENG.G0.14.1,English,Final Year Undergraduate,F,NS,Essay,1.112,0.000,0.000,0.000,0.000,0.556,0.371,0.000,5.375,1.112,1.112,0.000,0.185,2.132,0.000,1.019
ENG.G0.15.1,English,Final Year Undergraduate,M,NS,Essay,1.782,0.155,0.000,0.039,0.116,0.349,0.620,0.000,3.834,0.813,0.891,0.000,0.271,1.317,0.039,1.936
ENG.G0.16.1,English,Final Year Undergraduate,M,NS,Report,3.069,0.071,0.000,0.000,0.286,0.642,0.571,0.000,9.208,0.357,0.357,0.000,0.286,1.499,0.357,1.071
ENG.G0.17.1,English,Final Year Undergraduate,M,NS,Essay,0.686,0.000,0.098,0.000,0.098,0.686,0.686,0.000,3.330,1.273,1.371,0.098,0.490,1.763,0.000,1.077
ENG.G0.17.2,English,Final Year Undergraduate,M,NS,Report,1.668,0.076,0.000,0.000,0.000,0.910,1.061,0.000,3.033,0.682,0.910,0.000,0.455,2.654,0.000,1.592
ENG.G0.18.1,English,Final Year Undergraduate,F,NNS,Essay,3.929,0.000,0.000,0.000,0.147,0.442,0.737,0.000,3.585,0.688,0.589,0.049,0.147,2.063,0.147,0.982
ENG.G0.18.2,English,Final Year Undergraduate,F,NNS,Essay,2.673,0.050,0.050,0.099,0.099,0.297,0.941,0.000,5.297,0.693,0.594,0.000,0.050,1.337,0.149,1.683
ENG.G0.18.3,English,Final Year Undergraduate,F,NNS,Essay,2.202,0.100,0.000,0.100,0.250,0.551,0.701,0.000,4.104,1.301,0.551,0.000,0.450,2.002,0.050,1.752
ENG.G0.18.4,English,Final Year Undergraduate,F,NNS,Essay,1.589,0.051,0.000,0.051,0.051,0.564,0.564,0.103,3.280,0.718,0.820,0.000,0.410,1.743,0.154,0.718
ENG.G0.19.1,English,Final Year Undergraduate,F,NS,Report,2.554,0.098,0.098,0.000,0.098,0.589,0.884,0.000,5.599,1.375,0.393,0.098,0.000,1.572,0.000,1.081
ENG.G0.19.2,English,Final Year Undergraduate,F,NS,Essay,1.205,0.201,0.301,0.000,0.050,0.201,0.854,0.000,6.228,0.653,0.753,0.000,0.151,1.959,0.000,0.502
ENG.G0.20.1,English,Final Year Undergraduate,M,NS,Essay,1.677,0.157,0.000,0.000,0.052,0.891,0.681,0.000,4.036,0.786,0.734,0.000,0.419,1.625,0.052,2.935
ENG.G0.21.1,English,Final Year Undergraduate,M,NS,Essay,1.769,0.051,0.000,0.000,0.101,0.354,0.960,0.000,6.569,1.112,0.556,0.000,0.404,1.819,0.101,0.910
ENG.G0.22.1,English,Final Year Undergraduate,F,NS,Essay,1.100,0.183,0.000,0.000,0.122,0.489,0.794,0.000,3.177,1.588,1.038,0.000,0.061,1.710,0.000,1.344
ENG.G0.22.2,English,Final Year Undergraduate,F,NS,Report,2.126,0.109,0.027,0.027,0.218,0.791,0.545,0.000,3.680,1.772,0.463,0.027,0.164,2.781,0.055,1.254
ENG.G0.23.1,English,Final Year Undergraduate,F,NS,Essay,1.800,0.000,0.038,0.038,0.345,0.460,0.957,0.000,4.481,0.957,0.804,0.000,0.153,2.183,0.000,1.340
ENG.G0.24.1,English,Final Year Undergraduate,F,NS,Essay,2.635,0.062,0.062,0.000,0.062,0.620,0.806,0.124,5.053,1.178,0.341,0.031,0.279,2.015,0.000,1.767
ENG.G0.25.1,English,Final Year Undergraduate,F,NS,Essay,1.563,0.113,0.000,0.000,0.204,0.272,0.702,0.000,2.651,0.566,1.065,0.000,0.295,2.175,0.113,1.178
ENG.G0.26.1,English,Final Year Undergraduate,F,NS,CreativeWriting,1.742,0.050,0.000,0.050,0.697,0.498,0.846,0.000,4.828,0.597,0.498,0.199,0.647,1.444,0.647,0.796
ENG.G0.26.2,English,Final Year Undergraduate,F,NS,Essay,3.828,0.053,0.053,0.000,0.106,0.744,0.532,0.000,1.754,1.116,0.000,0.000,0.266,2.286,0.053,0.797
ENG.G0.27.1,English,Final Year Undergraduate,F,NS,Essay,5.414,0.116,0.155,0.077,0.348,0.271,0.387,0.000,4.795,0.464,0.967,0.000,0.193,1.972,0.000,1.276
ENG.G0.28.1,English,Final Year Undergraduate,M,NS,Essay,0.658,0.094,0.000,0.000,0.000,0.658,0.470,0.000,4.793,0.846,0.658,0.000,0.470,2.115,0.047,1.316
ENG.G0.29.1,English,Final Year Undergraduate,M,NS,Essay,1.727,0.179,0.000,0.000,0.000,0.238,1.072,0.000,2.621,0.476,0.774,0.000,0.536,1.429,0.119,0.953
ENG.G0.30.1,English,Final Year Undergraduate,F,NS,Critique,1.469,0.059,0.059,0.029,0.147,0.353,0.529,0.000,7.670,1.029,0.852,0.000,0.147,2.674,0.029,1.058
ENG.G0.31.1,English,Final Year Undergraduate,F,NS,Report,1.017,0.000,0.054,0.000,0.000,0.642,1.660,0.000,1.767,1.392,0.857,0.000,0.214,2.409,0.000,1.499
ENG.G0.31.2,English,Final Year Undergraduate,F,NS,Report,2.780,0.000,0.479,0.000,0.096,0.863,0.479,0.000,8.917,0.959,1.342,0.096,0.096,2.301,0.000,1.918
ENG.G0.32.1,English,Final Year Undergraduate,M,NS,Essay,2.890,0.199,0.050,0.050,0.000,0.399,1.046,0.000,3.239,0.498,0.598,0.000,0.299,2.192,0.000,1.146
ENG.G0.33.1,English,Final Year Undergraduate,M,NS,Report,1.682,0.143,0.143,0.072,0.179,0.823,0.895,0.000,3.758,1.002,0.143,0.000,0.358,1.969,0.036,1.432
ENG.G0.34.1,English,Final Year Undergraduate,M,NS,Essay,1.235,0.056,0.224,0.000,0.056,0.393,0.673,0.000,4.265,0.617,0.337,0.000,0.112,2.469,0.000,1.571
ENG.G0.34.2,English,Final Year Undergraduate,M,NS,Report,2.252,0.090,0.045,0.000,0.225,0.270,1.036,0.000,2.477,0.811,0.135,0.000,0.090,0.856,0.000,1.216
ENG.G0.34.3,English,Final Year Undergraduate,M,NS,Report,3.978,0.098,0.000,0.000,0.295,0.393,1.031,0.000,4.617,1.130,1.130,0.049,0.196,1.277,0.098,1.719
ENG.G0.35.1,English,Final Year Undergraduate,F,NS,Essay,2.112,0.192,0.048,0.000,0.000,0.960,0.864,0.048,3.553,1.104,0.144,0.000,0.384,2.976,0.000,1.104
ENG.G0.35.2,English,Final Year Undergraduate,F,NS,Essay,0.000,0.070,0.000,0.070,0.000,0.702,0.281,0.000,5.407,0.772,1.124,0.000,0.140,4.284,0.000,1.896
ENG.G0.36.1,English,Final Year Undergraduate,M,NS,Report,2.574,0.000,0.165,0.000,0.000,0.627,0.297,0.000,3.102,0.792,0.132,0.000,0.198,1.650,0.033,1.386
ENG.G0.37.1,English,Final Year Undergraduate,F,NS,Essay,1.550,0.037,0.074,0.000,0.037,0.480,0.590,0.000,3.284,0.849,1.070,0.037,0.480,2.030,0.000,1.218
ENG.G0.38.1,English,Final Year Undergraduate,F,NS,ResponsePaper,0.972,0.000,0.000,0.000,0.000,0.324,0.162,0.000,3.728,1.297,0.162,0.000,0.162,1.945,0.162,1.459
ENG.G0.38.2,English,Final Year Undergraduate,F,NS,ResponsePaper,2.977,0.000,0.000,0.000,0.000,0.350,0.175,0.000,7.531,0.876,0.701,0.000,0.175,0.525,0.175,0.350
ENG.G0.38.3,English,Final Year Undergraduate,F,NS,CreativeWriting,1.947,0.000,0.000,0.000,0.041,0.284,0.527,0.000,1.420,0.446,0.406,0.041,0.081,1.055,0.000,0.527
ENG.G0.39.2,English,Final Year Undergraduate,F,NS,Essay,4.713,0.068,0.000,0.000,0.546,0.956,0.683,0.000,4.645,0.615,0.000,0.000,0.342,2.186,0.000,1.913
ENG.G0.40.1,English,Final Year Undergraduate,M,NS,Essay,0.942,0.171,0.000,0.000,0.000,0.257,0.685,0.000,4.366,0.342,1.199,0.000,0.171,1.113,0.000,1.199
ENG.G0.41.1,English,Final Year Undergraduate,M,NS,Essay,1.609,0.193,0.129,0.000,0.000,1.351,0.450,0.000,8.559,0.515,0.064,0.064,0.193,2.317,0.000,1.802
ENG.G0.41.2,English,Final Year Undergraduate,M,NS,Critique,1.828,0.000,0.000,0.057,0.057,0.571,0.457,0.000,7.253,1.085,0.114,0.000,0.057,1.999,0.000,1.485
ENG.G0.41.3,English,Final Year Undergraduate,M,NS,Essay,2.957,0.100,0.000,0.000,0.000,0.451,0.602,0.000,7.619,0.952,0.201,0.050,0.301,2.306,0.000,1.404
ENG.G0.42.1,English,Final Year Undergraduate,F,NS,Report,1.566,0.000,0.285,0.000,0.214,1.068,0.285,0.000,5.694,1.851,0.783,0.000,0.427,1.637,0.000,1.281
ENG.G0.42.2,English,Final Year Undergraduate,F,NS,Essay,4.472,0.203,0.407,0.000,0.407,0.610,0.813,0.000,6.707,1.423,0.203,0.000,0.407,2.439,0.203,2.033
ENG.G0.43.1,English,Final Year Undergraduate,F,NS,Essay,1.468,0.180,0.090,0.000,0.270,0.629,0.449,0.030,4.522,0.749,0.898,0.030,0.329,1.707,0.030,1.288
ENG.G0.43.2,English,Final Year Undergraduate,F,NS,Report,1.130,0.097,0.129,0.000,0.323,0.613,0.904,0.000,5.746,0.775,0.742,0.000,0.258,2.647,0.032,1.001
ENG.G0.44.1,English,Final Year Undergraduate,F,NS,Essay,5.064,0.116,0.145,0.174,0.231,0.174,0.550,0.000,4.167,1.100,0.203,0.347,0.405,1.447,0.029,1.476
ENG.G0.45.1,English,Final Year Undergraduate,F,NS,Essay,3.871,0.046,0.092,0.000,0.092,0.876,1.475,0.000,1.982,1.014,1.198,0.000,0.138,2.258,0.000,1.567
ENG.G0.46.1,English,Final Year Undergraduate,M,NS,Essay,1.383,0.163,0.081,0.041,0.122,0.366,0.895,0.000,5.246,0.854,0.163,0.000,0.163,2.318,0.000,1.220
ENG.G0.47.1,English,Final Year Undergraduate,F,NNS,Essay,3.900,0.000,0.000,0.000,0.093,1.021,0.650,0.000,1.207,2.043,0.279,0.000,0.093,1.950,0.000,1.393
ENG.G0.48.1,English,Final Year Undergraduate,F,NS,Critique,3.067,0.093,0.000,0.000,0.279,0.697,0.511,0.046,6.041,1.859,0.976,0.232,0.325,1.626,0.046,0.976
ENG.G0.49.1,English,Final Year Undergraduate,F,NS,Essay,2.736,0.000,0.072,0.000,0.072,0.792,0.576,0.000,4.896,1.296,0.432,0.000,0.144,2.808,0.144,1.224
ENG.G0.49.2,English,Final Year Undergraduate,F,NS,Essay,5.093,0.081,0.121,0.081,0.202,0.687,0.445,0.000,3.840,0.889,0.485,0.081,0.081,2.546,0.040,0.808
ENG.G0.49.3,English,Final Year Undergraduate,F,NS,Essay,1.544,0.040,0.119,0.000,0.356,0.752,0.871,0.000,5.107,0.673,0.396,0.040,0.238,2.177,0.119,0.871
ENG.G0.50.1,English,Final Year Undergraduate,F,NS,Report,2.110,0.056,0.000,0.056,0.000,0.611,0.944,0.000,4.220,0.777,0.722,0.000,0.111,1.388,0.000,1.943
ENG.G0.51.1,English,Final Year Undergraduate,M,NS,Essay,1.671,0.046,0.186,0.000,0.278,1.021,0.882,0.000,5.800,0.882,0.510,0.000,0.093,1.578,0.000,0.742
ENG.G0.52.1,English,Final Year Undergraduate,F,NS,Essay,4.844,0.000,0.000,0.061,0.061,0.736,0.797,0.184,3.985,0.674,0.307,0.000,0.184,1.717,0.123,0.797
ENG.G0.53.1,English,Final Year Undergraduate,F,NS,Essay,1.175,0.261,0.131,0.000,0.000,0.849,1.567,0.000,3.264,0.522,0.392,0.000,0.131,1.567,0.000,1.305
ENG.G0.54.1,English,Final Year Undergraduate,F,NS,Report,1.352,0.035,0.000,0.000,0.035,0.659,0.971,0.000,7.903,1.040,0.312,0.000,0.451,1.386,0.000,1.872
ENG.G0.55.1,English,Final Year Undergraduate,F,NS,Essay,1.523,0.147,0.049,0.000,0.000,0.540,0.295,0.000,2.800,1.130,0.491,0.000,0.196,2.161,0.000,1.424
ENG.G0.55.2,English,Final Year Undergraduate,F,NS,Essay,2.175,0.093,0.046,0.000,0.139,0.787,0.602,0.000,6.988,1.111,0.972,0.046,0.324,1.805,0.000,0.694
ENG.G0.57.1,English,Third Year Graduate,F,NNS,CreativeWriting,2.172,0.000,0.000,0.000,0.053,0.424,0.953,0.000,2.172,1.271,0.477,0.106,0.106,1.165,0.159,1.695
ENG.G0.58.1,English,Third Year Graduate,M,NNS,Essay,2.486,0.037,0.111,0.000,0.186,0.705,0.668,0.000,7.495,1.039,0.148,0.000,0.557,2.597,0.037,1.484
ENG.G1.01.1,English,First Year Graduate,F,NS,Report,1.678,0.024,0.219,0.122,0.243,0.778,0.486,0.024,4.111,0.705,0.268,0.024,0.195,1.849,0.000,1.070
ENG.G1.02.1,English,First Year Graduate,M,NS,Essay,1.271,0.095,0.667,0.000,0.191,0.476,0.445,0.000,6.671,0.604,0.286,0.000,0.254,1.588,0.032,0.921
ENG.G1.03.1,English,First Year Graduate,F,NS,Essay,1.303,0.011,0.223,0.011,0.134,0.568,0.501,0.000,7.083,0.601,0.557,0.022,0.223,2.161,0.223,1.548
ENG.G1.04.1,English,First Year Graduate,F,NS,Essay,4.066,0.122,0.138,0.076,0.076,0.550,0.382,0.000,7.001,0.657,0.352,0.015,0.306,1.926,0.168,1.315
ENG.G1.05.1,English,First Year Graduate,F,NS,Essay,2.299,0.161,0.040,0.081,0.242,0.282,0.444,0.000,6.495,0.726,0.202,0.000,0.202,1.291,0.040,0.645
ENG.G1.06.1,English,First Year Graduate,M,NNS,Essay,3.258,0.184,0.000,0.046,0.092,0.344,0.757,0.000,3.877,0.826,0.895,0.046,0.252,1.101,0.000,0.986
ENG.G1.07.1,English,First Year Graduate,F,NS,Report,1.411,0.159,0.358,0.099,0.089,0.736,0.368,0.000,6.948,0.477,0.517,0.050,0.378,1.988,0.070,1.352
ENG.G2.01.1,English,Second Year Graduate,M,NS,Essay,2.648,0.030,0.183,0.061,0.152,0.913,0.670,0.000,5.297,0.852,0.213,0.030,0.122,1.370,0.030,1.218
ENG.G2.02.1,English,Second Year Graduate,M,NS,Essay,2.315,0.032,0.000,0.000,0.000,0.380,0.380,0.000,7.800,0.571,0.285,0.000,0.190,1.934,0.032,1.268
ENG.G2.02.2,English,Second Year Graduate,M,NS,Essay,1.234,0.101,0.101,0.000,0.061,0.445,0.344,0.000,4.734,0.465,0.425,0.000,0.162,1.780,0.020,0.668
ENG.G2.03.1,English,Second Year Graduate,F,NS,Essay,2.782,0.046,0.092,0.000,0.000,0.290,0.382,0.000,6.574,0.612,0.260,0.031,0.092,1.896,0.061,0.841
ENG.G2.04.1,English,Second Year Graduate,F,NS,Essay,3.879,0.078,0.465,0.000,0.194,0.659,0.931,0.078,4.344,0.931,0.504,0.000,0.272,1.202,0.039,1.668
